N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
54,크래프톤,"247,500",보합 0,0.00%,100,"117,320","47,402",42.59,"73,220",9.47,21.10
55,SK텔레콤,"53,900",하락 500,-0.92%,100,"115,772","214,790",36.23,"398,841",19.73,10.83
56,한미반도체,"121,400","상승 2,300",+1.93%,100,"115,709","95,312",6.73,"773,523",48.35,27.43
57,KODEX 200,"59,020",상승 780,+1.34%,0,"115,207","195,200",25.56,"8,094,375",N/A,N/A
58,한국항공우주,"110,000","상승 3,800",+3.58%,"5,000","107,223","97,475",32.07,"445,186",78.24,10.42
59,카카오뱅크,"21,900",하락 100,-0.45%,"5,000","104,461","476,990",14.69,"594,609",22.74,6.95
60,SK바이오팜,"133,300",하락 700,-0.52%,500,"104,392","78,313",12.46,"144,648",32.58,58.01
61,이수페타시스,"141,700","상승 6,500",+4.81%,"1,000","104,021","73,409",32.14,"1,919,275",71.93,24.92
62,에이피알,"269,500","상승 15,000",+5.89%,100,"100,876","37,431",27.35,"702,087",43.45,41.34
63,삼양식품,"1,292,000","하락 5,000",-0.39%,"5,000","97,327","7,533",17.92,"43,108",26.31,39.37
64,포스코인터내셔널,"55,200",상승 300,+0.55%,"5,000","97,109","175,923",6.70,"306,108",24.14,8.14
65,유한양행,"116,100","하락 1,200",-1.02%,"1,000","92,843","79,968",17.46,"330,202",138.54,3.41
66,한화시스템,"48,350","상승 1,150",+2.44%,"5,000","91,343","188,919",7.90,"1,001,663",15.34,19.63
67,한국금융지주,"163,200",하락 800,-0.49%,"5,000","90,945","55,726",36.20,"124,483",5.65,11.54
68,S-Oil,"79,700",하락 800,-0.99%,"2,500","89,728","112,583",76.87,"225,111",-51.69,-2.18
69,HD현대미포,"223,000",보합 0,0.00%,"5,000","89,071","39,942",22.51,0,27.13,5.25
70,HD현대마린솔루션,"197,200","상승 2,300",+1.18%,500,"88,403","44,829",31.28,"85,870",33.36,44.98
71,KODEX 머니마켓액티브,"104,375",상승 10,+0.01%,0,"87,293","83,634",0.00,"625,696",N/A,N/A
72,DB손해보험,"122,200","하락 3,000",-2.40%,500,"86,518","70,800",43.96,"206,869",5.43,18.98
73,KODEX CD금리액티브(합성),"1,074,030",상승 80,+0.01%,0,"86,145","8,021",0.02,"211,276",N/A,N/A
74,LIG넥스원,"387,000","상승 14,500",+3.89%,"5,000","85,140","22,000",29.80,"126,583",26.51,19.59
75,현대오토에버,"302,000","상승 18,500",+6.53%,500,"82,820","27,424",3.93,"586,809",46.09,10.40
76,현대건설,"74,100","하락 1,000",-1.33%,"5,000","82,515","111,356",20.70,"4,009,855",-31.25,-2.09
77,대한항공,"22,350",상승 100,+0.45%,"5,000","82,297","368,221",15.28,"887,072",8.71,13.17
78,키움증권,"286,000","하락 1,500",-0.52%,"5,000","76,025","26,582",29.33,"49,874",7.84,15.98
79,현대차2우B,"217,000","상승 1,000",+0.46%,"5,000","75,872","34,964",59.08,"174,005",5.45,N/A
80,NH투자증권,"21,100",하락 300,-1.40%,"5,000","75,189","356,344",13.67,"522,760",8.61,8.73
81,한국타이어앤테크놀로지,"60,600","하락 2,200",-3.50%,500,"75,068","123,875",36.83,"335,418",7.89,10.79
82,TIGER 미국나스닥100,"167,650",상승 350,+0.21%,0,"72,727","43,380",0.06,"464,304",N/A,N/A
83,삼성증권,"81,300",하락 500,-0.61%,"5,000","72,601","89,300",27.58,"183,509",7.72,12.89
84,아모레퍼시픽,"122,900","하락 1,400",-1.13%,500,"71,888","58,493",22.92,"115,980",53.69,11.69
85,한진칼,"106,600","하락 1,900",-1.75%,"2,500","71,169","66,762",20.41,"49,910",40.53,16.75
86,LG이노텍,"286,500","상승 2,000",+0.70%,"5,000","67,806","23,667",28.77,"149,610",21.72,8.92
87,KODEX 미국S&P500,"22,980",상승 15,+0.07%,0,"66,906","291,150",0.07,"5,074,839",N/A,N/A
88,카카오페이,"48,900",상승 400,+0.82%,500,"66,083","135,140",26.37,"282,835",145.97,-0.73
89,LG유플러스,"15,290",하락 10,-0.07%,"5,000","65,721","429,828",41.51,"888,386",17.66,4.40
90,LG디스플레이,"12,940",하락 330,-2.49%,"5,000","64,700","500,000",27.23,"1,499,959",-19.28,-37.21
91,코웨이,"88,000",상승 100,+0.11%,500,"63,280","71,909",58.81,"156,799",11.13,19.38
92,한화,"83,900","상승 1,600",+1.94%,"5,000","62,890","74,959",16.95,"146,710",6.42,7.19
93,삼성카드,"54,000",하락 200,-0.37%,"5,000","62,564","115,859",5.83,"33,696",9.92,8.00
94,LG씨엔에스,"64,200","하락 3,000",-4.46%,500,"62,201","96,886",6.98,"2,022,703",15.36,18.32
95,LS,"188,200",하락 300,-0.16%,"5,000","59,659","31,700",18.42,"92,115",26.98,5.09
96,두산밥캣,"59,200",하락 600,-1.00%,500,"56,747","95,856",36.67,"212,631",13.10,8.77
97,맥쿼리인프라,"11,650",보합 0,0.00%,0,"55,794","478,922",9.19,"926,316",N/A,N/A
98,CJ,"186,000","하락 3,100",-1.64%,"5,000","54,269","29,177",14.37,"109,258",17.04,1.83
99,한미약품,"421,500","하락 4,500",-1.06%,"2,500","53,998","12,811",11.68,"66,211",46.35,11.89
100,GS,"57,500",하락 900,-1.54%,"5,000","53,426","92,915",17.02,"154,268",9.56,4.12
101,두산로보틱스,"81,400",상승 600,+0.74%,500,"52,763","64,820",3.29,"408,207",-85.15,-8.69
102,엘앤에프,"132,000","상승 8,600",+6.97%,500,"52,351","39,660",16.50,"1,237,165",-10.47,-41.74
103,TIGER CD금리투자KIS(합성),"56,795",보합 0,0.00%,0,"51,646","90,934",0.01,"152,729",N/A,N/A
104,삼성E&A,"25,450",하락 500,-1.93%,"5,000","49,882","196,000",48.27,"770,046",9.08,19.65
105,현대차우,"212,500","상승 2,000",+0.95%,"5,000","49,600","23,341",56.66,"183,067",5.34,N/A
106,BNK금융지주,"15,600",하락 110,-0.70%,"5,000","49,050","314,425",39.19,"564,348",6.27,6.96
107,JB금융지주,"25,150",상승 50,+0.20%,"5,000","47,756","189,885",35.00,"256,538",7.03,12.80
108,한화솔루션,"27,500",하락 350,-1.26%,"5,000","47,270","171,893",10.82,"747,323",-11.00,-15.99
109,TIGER 200,"59,065",상승 795,+1.36%,0,"45,185","76,500",9.95,"3,825,882",N/A,N/A
110,산일전기,"148,000","하락 1,100",-0.74%,500,"45,059","30,445",11.50,"340,570",33.89,29.88
111,KODEX 미국나스닥100,"25,150",상승 55,+0.22%,0,"44,729","177,850",0.03,"3,254,014",N/A,N/A
112,에코프로머티,"63,100","상승 3,100",+5.17%,500,"44,127","69,932",19.84,"838,196",39.56,-5.56
113,엔씨소프트,"202,000","하락 10,000",-4.72%,500,"43,519","21,544",32.13,"206,316",12.86,2.99
114,포스코DX,"28,450","상승 2,050",+7.77%,500,"43,254","152,035",3.80,"2,492,061",58.54,17.92
115,KODEX KOFR금리액티브(합성),"110,695",상승 5,0.00%,0,"42,869","38,727",0.00,"333,599",N/A,N/A
116,대한전선,"22,750",하락 500,-2.15%,"1,000","42,417","186,447",9.98,"1,981,316",95.19,5.85
117,넷마블,"49,050","하락 1,650",-3.25%,100,"42,160","85,954",27.46,"412,193",39.21,0.49
118,TIGER 미국테크TOP10 INDXX,"31,730",상승 50,+0.16%,0,"42,026","132,450",0.15,"702,613",N/A,N/A
119,SKC,"110,400",상승 400,+0.36%,"5,000","41,807","37,868",10.20,"160,189",-9.24,-34.34
120,현대제철,"31,200",하락 300,-0.95%,"5,000","41,635","133,446",23.72,"216,943",-185.71,-0.06
121,SK바이오사이언스,"53,000","하락 1,000",-1.85%,500,"41,536","78,369",6.23,"91,763",-706.67,-3.07
122,LG생활건강,"270,500","하락 2,000",-0.73%,"5,000","41,393","15,302",25.50,"45,945",72.44,3.44
123,오리온,"104,200",상승 100,+0.10%,500,"41,197","39,536",31.76,"95,810",7.77,16.57
124,영원무역,"90,500",보합 0,0.00%,500,"40,102","44,311",30.35,"61,302",8.98,12.32
125,한국가스공사,"42,400",보합 0,0.00%,"5,000","39,141","92,313",11.86,"162,730",4.49,11.21
126,KCC,"435,500","상승 6,500",+1.52%,"5,000","38,701","8,886",12.52,"13,386",3.28,6.08
127,KODEX 200TR,"21,185",상승 280,+1.34%,0,"38,578","182,100",0.02,"487,909",N/A,N/A
128,강원랜드,"17,810",하락 110,-0.61%,500,"38,103","213,940",12.86,"288,140",10.51,12.09
129,한전기술,"95,900","하락 4,200",-4.20%,200,"36,653","38,220",13.71,"259,862",35.28,10.40
130,한화엔진,"43,750",상승 650,+1.51%,"1,000","36,508","83,447",20.35,"566,083",32.99,25.64
131,현대엘리베이터,"93,100","상승 1,200",+1.31%,"5,000","36,395","39,092",24.76,"265,189",11.31,14.42
132,서울보증보험,"49,900",하락 100,-0.20%,"2,500","34,841","69,822",1.55,"49,549",15.18,4.12
133,KODEX 종합채권(AA-이상)액티브,"116,025",하락 30,-0.03%,0,"34,516","29,749",0.00,"35,757",N/A,N/A
134,ACE KRX금현물,"28,145",하락 10,-0.04%,0,"34,027","120,900",0.10,"1,551,643",N/A,N/A
135,KODEX 레버리지,"45,135","상승 1,175",+2.67%,0,"33,964","75,250",0.77,"20,382,774",N/A,N/A
136,TIGER 미국필라델피아반도체나스닥,"28,270",상승 190,+0.68%,0,"33,712","119,250",0.51,"1,201,943",N/A,N/A
137,TIGER 머니마켓액티브,"101,045",상승 5,0.00%,0,"32,698","32,360",0.00,"74,604",N/A,N/A
138,TIGER MSCI Korea TR,"25,415",상승 435,+1.74%,0,"32,404","127,500",0.00,"30,136",N/A,N/A
139,CJ제일제당,"211,500","하락 1,500",-0.70%,"5,000","31,840","15,054",14.46,"54,007",58.12,1.97
140,금호석유화학,"121,500","상승 2,400",+2.02%,"5,000","31,629","26,032",21.02,"98,222",10.35,5.88
141,롯데케미칼,"72,900",보합 0,0.00%,"5,000","31,183","42,775",22.33,"91,288",-1.75,-11.44
142,ACE 미국S&P500,"25,340",하락 5,-0.02%,0,"29,496","116,400",0.06,"683,193",N/A,N/A
143,롯데지주,"27,850",하락 250,-0.89%,200,"29,217","104,909",7.82,"157,750",-2.93,-15.56
144,풍산,"103,400",상승 700,+0.68%,"5,000","28,977","28,024",18.93,"108,363",16.22,11.33
145,에스원,"75,800",하락 800,-1.04%,500,"28,803","37,999",56.74,"24,048",15.93,10.85
146,DB하이텍,"66,100","상승 1,300",+2.01%,"5,000","28,757","43,505",33.08,"305,734",11.95,12.44
147,HD현대인프라코어,"14,960",상승 40,+0.27%,"1,000","28,252","188,851",16.73,"526,368",20.92,5.92
148,더존비즈온,"92,000","하락 3,000",-3.16%,500,"27,952","30,383",12.72,"206,332",39.48,17.03
149,HD현대마린엔진,"82,200",하락 900,-1.08%,"2,500","27,883","33,921",15.65,"223,765",27.02,28.34
150,대한조선,"72,300",하락 600,-0.82%,"5,000","27,855","38,526",1.16,"270,338",5.80,55.26
151,F&F,"72,600",보합 0,0.00%,100,"27,811","38,307",10.98,"56,576",7.92,25.27
152,HL만도,"59,100",하락 100,-0.17%,"1,000","27,752","46,957",23.85,"1,381,170",23.41,5.47
153,동서,"27,350",하락 250,-0.91%,500,"27,268","99,700",4.04,"89,954",18.98,9.52
154,KODEX CD1년금리플러스액티브(합성),"1,022,185",상승 80,+0.01%,0,"27,207","2,662",0.00,"10,598",N/A,N/A
155,미스토홀딩스,"44,450",하락 100,-0.22%,"1,000","26,713","60,096",36.84,"107,762",15.38,4.30
156,TIGER KOFR금리액티브(합성),"109,675",상승 10,+0.01%,0,"26,561","24,218",0.00,"58,086",N/A,N/A
157,한국앤컴퍼니,"27,950",하락 200,-0.71%,500,"26,534","94,935",9.75,"162,150",8.58,8.28
158,한솔케미칼,"233,500","상승 2,000",+0.86%,"5,000","26,468","11,335",35.94,"45,712",17.19,13.48
159,제일기획,"22,900",상승 100,+0.44%,200,"26,344","115,041",22.88,"255,540",14.44,15.12
160,한화생명,"3,020",하락 65,-2.11%,"5,000","26,230","868,530",9.52,"970,771",3.38,6.98
161,농심,"431,000",하락 500,-0.12%,"5,000","26,216","6,083",18.80,"29,794",15.98,6.17
162,현대해상,"29,100","하락 1,150",-3.80%,500,"26,015","89,400",35.76,"410,052",2.47,15.75
163,영원무역홀딩스,"192,700","상승 5,000",+2.66%,500,"26,013","13,499",21.82,"18,975",8.07,13.17
164,일진전기,"54,300",하락 700,-1.27%,"1,000","25,893","47,685",14.67,"405,114",30.15,10.60
165,ACE 미국나스닥100,"28,825",상승 65,+0.23%,0,"25,135","87,200",0.14,"1,483,732",N/A,N/A
166,한온시스템,"3,695",하락 90,-2.38%,100,"25,080","678,763",4.97,"3,506,434",-8.51,-13.90
167,한미사이언스,"36,650",하락 300,-0.81%,500,"25,066","68,392",2.44,"68,936",33.35,7.30
168,한올바이오파마,"47,950","하락 3,150",-6.16%,500,"25,049","52,241",2.96,"907,747","1,089.77",-1.02
169,SK아이이테크놀로지,"30,050",상승 900,+3.09%,"1,000","24,577","81,787",4.95,"225,121",-12.11,-10.41
170,한전KPS,"54,100",하락 600,-1.10%,200,"24,345","45,000",12.15,"123,004",17.36,13.26
171,대덕전자,"48,650",상승 450,+0.93%,500,"24,041","49,417",11.73,"1,181,362",95.02,2.73
172,RISE 머니마켓액티브,"54,950",상승 5,+0.01%,0,"23,746","43,214",1.58,"190,134",N/A,N/A
173,신세계,"244,000","상승 2,000",+0.83%,"5,000","23,534","9,645",14.93,"53,600",62.94,2.54
174,iM금융지주,"14,480",하락 150,-1.03%,"5,000","23,466","162,055",44.98,"299,528",6.12,3.60
175,신영증권,"142,400","하락 1,600",-1.11%,"5,000","23,411","16,440",6.42,"13,615",18.37,6.45
176,효성,"137,000",상승 300,+0.22%,"5,000","22,934","16,740",17.13,"43,610",7.22,19.62
177,시프트업,"38,650",상승 150,+0.39%,200,"22,789","58,961",36.94,"45,419",11.77,31.30
178,이마트,"82,100",하락 200,-0.24%,"5,000","22,656","27,596",26.41,"91,551",-7.41,-5.40
179,TIGER 미국배당다우존스,"12,880",하락 45,-0.35%,0,"22,553","175,100",0.11,"1,258,810",N/A,N/A
180,SK가스,"242,000","상승 3,500",+1.47%,"5,000","22,373","9,245",7.20,"7,739",7.52,6.74
181,RISE 200,"59,485",상승 790,+1.35%,0,"22,337","37,550",0.05,"969,543",N/A,N/A
182,팬오션,"4,130",하락 150,-3.50%,"1,000","22,078","534,570",13.98,"3,048,531",10.05,5.17
183,아모레퍼시픽홀딩스,"27,750",하락 200,-0.72%,500,"22,050","79,458",11.81,"137,532",22.76,7.57
184,ACE 미국30년국채액티브(H),"7,720",하락 45,-0.58%,0,"22,010","285,100",0.01,"2,545,466",N/A,N/A
185,코리안리,"11,270",상승 10,+0.09%,500,"21,956","194,821",26.18,"208,680",6.44,9.45
186,CJ대한통운,"96,200","하락 1,300",-1.33%,"5,000","21,945","22,812",15.61,"101,031",8.73,6.58
187,에스엘,"46,200",상승 550,+1.20%,500,"21,459","46,449",16.79,"400,993",6.83,17.42
188,한화비전,"42,300",상승 750,+1.81%,500,"21,357","50,488",19.58,"322,051",497.65,N/A
189,두산퓨얼셀,"32,400","하락 2,500",-7.16%,100,"21,220","65,494",18.09,"1,460,270",-72.81,-2.07
190,두산우,"529,000","하락 8,000",-1.49%,"5,000","21,141","3,996",4.94,"33,823",189.13,N/A
191,대웅제약,"181,000","하락 2,400",-1.31%,"2,500","20,972","11,587",12.72,"30,099",22.50,3.17
192,롯데쇼핑,"72,400","하락 1,800",-2.43%,"5,000","20,481","28,289",8.98,"59,669",-1.97,-7.75
193,현대백화점,"90,100","하락 4,100",-4.35%,"5,000","20,389","22,629",23.11,"127,266",11.48,-0.81
194,롯데에너지머티리얼즈,"38,000","하락 2,150",-5.35%,500,"19,899","52,365",6.58,"753,110",-15.42,0.46
195,HJ중공업,"21,850",하락 250,-1.13%,"5,000","19,730","90,295",1.31,"888,170",-109.25,1.56
196,TIGER 반도체TOP10,"18,775",상승 460,+2.51%,0,"19,460","103,650",0.31,"3,597,498",N/A,N/A
197,KODEX 단기채권PLUS,"114,880",상승 35,+0.03%,0,"19,442","16,924",0.00,"17,027",N/A,N/A
198,SOL 조선TOP3플러스,"33,860",상승 755,+2.28%,0,"19,368","57,200",0.20,"1,468,876",N/A,N/A
199,BGF리테일,"110,800",하락 100,-0.09%,"1,000","19,151","17,284",30.07,"25,643",10.14,17.29
200,KODEX 삼성그룹,"13,820",상승 70,+0.51%,0,"18,698","135,300",13.72,"589,254",N/A,N/A
201,GS리테일,"22,350",하락 50,-0.22%,"1,000","18,686","83,607",11.34,"164,940",23.02,0.07
202,코스맥스,"163,300","하락 1,900",-1.15%,500,"18,534","11,350",33.75,"34,321",37.16,20.53
203,PLUS 고배당주,"21,555",하락 60,-0.28%,0,"18,488","85,770",0.45,"1,327,689",N/A,N/A
204,OCI홀딩스,"99,000","하락 1,800",-1.79%,"5,000","18,484","18,670",20.78,"172,489",-9.99,2.54
205,씨에스윈드,"43,800",하락 250,-0.57%,500,"18,471","42,171",14.24,"100,944",9.28,13.92
206,현대위아,"67,700",상승 900,+1.35%,"5,000","18,411","27,195",17.24,"202,038",12.71,3.45
207,동원산업,"41,550","하락 1,150",-2.69%,"1,000","18,343","44,148",5.89,"209,034",5.59,2.74
209,롯데관광개발,"23,000","상승 1,650",+7.73%,500,"18,294","79,539",16.83,"2,363,751",-30.67,-60.42
210,호텔신라,"46,200",하락 550,-1.18%,"5,000","18,133","39,248",14.60,"166,449",-8.39,-6.50
211,이수스페셜티케미컬,"59,500","상승 8,000",+15.53%,"1,000","17,974","30,208",5.56,"1,110,997",838.03,9.70
212,코스모신소재,"54,800","상승 4,200",+8.30%,"1,000","17,816","32,511",5.38,"872,723",660.24,3.62
213,금호타이어,"6,190",하락 50,-0.80%,"5,000","17,781","287,260",8.75,"685,693",6.99,21.77
214,KODEX 2차전지산업,"16,290",상승 770,+4.96%,0,"17,121","105,100",0.30,"5,543,602",N/A,N/A
215,아시아나항공,"8,260",상승 90,+1.10%,"5,000","17,015","205,991",3.02,"139,982",-4.46,-53.21
216,SK리츠,"5,700",상승 150,+2.70%,500,"16,919","296,819",7.91,"580,638",52.29,1.95
217,GS건설,"19,750",하락 600,-2.95%,"5,000","16,902","85,581",25.73,"616,233",81.61,5.63
218,달바글로벌,"136,100","상승 6,600",+5.10%,100,"16,800","12,344",14.27,"182,419",22.36,26.21
219,HD현대건설기계,"96,700",상승 500,+0.52%,"5,000","16,785","17,358",16.24,"122,901",19.23,6.18
220,KODEX 200타겟위클리커버드콜,"13,665",상승 180,+1.33%,0,"16,767","122,700",0.03,"3,732,852",N/A,N/A
221,RISE 종합채권(A-이상)액티브,"107,925",상승 10,+0.01%,0,"16,657","15,434",0.00,"8,803",N/A,N/A
222,TIGER 차이나전기차SOLACTIVE,"12,775",상승 160,+1.27%,0,"16,597","129,920",0.39,"889,551",N/A,N/A
223,다우기술,"36,950",하락 400,-1.07%,500,"16,578","44,867",25.61,"48,689",3.73,13.16
224,DN오토모티브,"28,000",상승 100,+0.36%,100,"16,383","58,511",4.75,"208,415",6.62,19.78
225,미래에셋생명,"9,240",상승 10,+0.11%,"5,000","16,356","177,016",1.46,"46,732",8.88,4.88
226,파라다이스,"17,650",상승 190,+1.09%,500,"16,310","92,406",10.48,"727,582",16.15,4.97
227,DL이앤씨,"41,050",하락 300,-0.73%,"5,000","15,884","38,694",30.52,"174,835",6.24,4.77
228,SNT다이내믹스,"47,500","상승 4,500",+10.47%,"2,500","15,795","33,253",8.07,"212,504",19.32,12.90
229,TIGER CD1년금리액티브(합성),"1,053,435",상승 65,+0.01%,0,"15,718","1,492",0.00,"19,464",N/A,N/A
230,KODEX 반도체,"58,310","상승 1,015",+1.77%,0,"15,656","26,850",0.63,"1,397,886",N/A,N/A
231,오뚜기,"388,500","하락 1,500",-0.38%,"5,000","15,570","4,008",11.51,"4,427",15.40,6.86
232,녹십자,"133,100","하락 2,300",-1.70%,"5,000","15,555","11,687",22.75,"25,623",27.61,-2.06
233,한국콜마,"65,700",상승 200,+0.31%,500,"15,509","23,605",36.82,"104,290",13.66,12.50
234,대우건설,"3,705",하락 135,-3.52%,"5,000","15,399","415,623",10.82,"1,713,486",-55.30,5.62
235,LG화학우,"198,800","상승 3,600",+1.84%,"5,000","15,285","7,689",41.54,"47,608",-10.53,N/A
236,KODEX 미국AI전력핵심인프라,"18,440",하락 100,-0.54%,0,"15,195","82,400",0.52,"1,526,117",N/A,N/A
237,한국카본,"28,850",상승 700,+2.49%,500,"14,976","51,908",12.83,"371,639",22.61,4.38
238,KODEX 200선물인버스2X,661,하락 17,-2.51%,0,"14,461","2,187,700",0.89,"597,849,079",N/A,N/A
239,STX엔진,"35,750",상승 700,+2.00%,"2,500","14,353","40,148",8.04,"464,079",19.99,10.15
240,KODEX 26-12 금융채(AA-이상)액티브,"10,000",보합 0,0.00%,0,"14,275","142,750",0.00,"4,308",N/A,N/A
241,TIGER 코리아TOP10,"19,860",상승 450,+2.32%,0,"14,240","71,700",41.48,"599,852",N/A,N/A
242,대신증권,"27,900",하락 400,-1.41%,"5,000","14,166","50,773",7.93,"133,974",11.09,4.57
244,대웅,"23,900",하락 400,-1.65%,500,"13,896","58,142",5.94,"75,482",17.93,5.99
245,미래에셋증권2우B,"10,090",상승 40,+0.40%,"5,000","13,874","137,500",21.28,"346,202",5.79,N/A
246,RISE 미국S&P500,"21,910",상승 5,+0.02%,0,"13,518","61,700",0.01,"405,239",N/A,N/A
247,영풍,"70,500","상승 3,100",+4.60%,500,"13,471","19,108",12.34,"42,613",-6.79,-6.81
248,한일시멘트,"18,310",하락 70,-0.38%,500,"13,466","73,545",4.83,"75,172",16.25,11.13
